Dataset: 7-dimensional of shape [4, 16, 16, 7, 12, 12, 12]
Running Partition
[I 2025-12-12 19:01:17,026] A new study created in memory with name: no-name-2e9249be-8d22-41b9-932f-7428c28db43e
[I 2025-12-12 19:11:45,631] Trial 0 finished with value: 12.127230181071024 and parameters: {'policy': 'BUCB1', 'initial_children': 1, 'new_child_threshold': 3, 'C': 3.332364578819267e-05}. Best is trial 0 with value: 12.127230181071024.
[I 2025-12-12 19:21:57,048] Trial 1 finished with value: 14.458427575091259 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 7, 'C': 0.0008148018307012947}. Best is trial 1 with value: 14.458427575091259.
[I 2025-12-12 19:32:08,255] Trial 2 finished with value: 14.557872993538396 and parameters: {'policy': 'NormalSampling', 'initial_children': 3, 'new_child_threshold': 4, 'C': 3.2112643094417477}. Best is trial 2 with value: 14.557872993538396.
[I 2025-12-12 19:42:22,349] Trial 3 finished with value: 15.66669988880363 and parameters: {'policy': 'NormalSampling', 'initial_children': 4, 'new_child_threshold': 4, 'C': 0.4247270739805822}. Best is trial 3 with value: 15.66669988880363.
[I 2025-12-12 19:52:55,289] Trial 4 finished with value: 14.258303669423427 and parameters: {'policy': 'BUCB2', 'initial_children': 1, 'new_child_threshold': 8, 'C': 4905.556676028764}. Best is trial 3 with value: 15.66669988880363.
[I 2025-12-12 20:02:46,552] Trial 5 finished with value: 17.114369234727683 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.2861489726404657}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 20:12:45,017] Trial 6 finished with value: 14.831144646397481 and parameters: {'policy': 'BUCB1', 'initial_children': 2, 'new_child_threshold': 6, 'C': 0.8325158565947959}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 20:22:30,170] Trial 7 finished with value: 15.248413473548538 and parameters: {'policy': 'BUCB1', 'initial_children': 5, 'new_child_threshold': 6, 'C': 1980.9253750493867}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 20:32:25,364] Trial 8 finished with value: 15.69410804603292 and parameters: {'policy': 'NormalSampling', 'initial_children': 2, 'new_child_threshold': 4, 'C': 287.499823474079}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 20:42:23,484] Trial 9 finished with value: 16.717009445047985 and parameters: {'policy': 'BUCB2', 'initial_children': 5, 'new_child_threshold': 3, 'C': 7620.481786158533}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 20:52:26,227] Trial 10 finished with value: 14.731905433874738 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 5, 'C': 0.006537416471878822}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 21:02:12,710] Trial 11 finished with value: 14.790641854379675 and parameters: {'policy': 'BUCB2', 'initial_children': 4, 'new_child_threshold': 3, 'C': 22.898915135473178}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 21:11:49,072] Trial 12 finished with value: 15.383091497624775 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 0.01602584765805781}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 21:21:39,876] Trial 13 finished with value: 14.747347673223132 and parameters: {'policy': 'BUCB2', 'initial_children': 2, 'new_child_threshold': 5, 'C': 61.918366139333166}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 21:31:35,447] Trial 14 finished with value: 13.845286663759476 and parameters: {'policy': 'BUCB2', 'initial_children': 4, 'new_child_threshold': 3, 'C': 0.030785615192833116}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 21:41:28,027] Trial 15 finished with value: 16.236220705040004 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 4, 'C': 7.483948702276222}. Best is trial 5 with value: 17.114369234727683.
